svl	head_depth	d_tymp_rost	head_width	antebrachium	shank	toe	depth_pect	treename	genus	species
61	5.6616666667	11.1883333333	7.5333333333	4.8366666667	8.0866666667	6.8866666667	6.7866666667	acritoscincus_trilineatus	acritoscincus	trilineatus
73.6666666667	3.2866666667	5.94	4.085	0	0	0	4.025	anomalopus_brevicollis	anomalopus	brevicollis
81	2.65	6.2	3.595	0	0	0	3.09	anomalopus_gowi	anomalopus	gowi
101	4.825	9.1225	6.055	1.185	0.45	0	5.5625	anomalopus_leuckartii	anomalopus	leuckartii
81	2.98	6.3175	3.9625	0	0	0	3.3325	anomalopus_swansoni	anomalopus	swansoni
144.5	6.536	13.048	8.403	2.273	1.659	0.04	8.607	anomalopus_verreauxii	anomalopus	verreauxii
43.5	3.63	7.975	4.91	2.38	4.75	2.645	4.28	calyptotis_lepidorostrum	calyptotis	lepidorostrum
40.3333333333	3.7566666667	7.3583333333	5.0508333333	2.6216666667	4.6816666667	2.6616666667	3.9858333333	calyptotis_ruficauda	calyptotis	ruficauda
47.1	4.2546666667	8.0243333333	5.4606666667	2.7706666667	4.7746666667	2.488	4.8366666667	calyptotis_scutirostrum	calyptotis	scutirostrum
33.375	3.14125	6.06	4.26125	2.0425	3.76625	1.7725	3.66375	calyptotis_temporalis	calyptotis	temporalis
60.5	7.2266666667	13.4716666667	9.0283333333	6.5833333333	10.6966666667	8.6333333333	9	carlia_longipes	carlia	longipes
37.9133333333	4.1266666667	9.3066666667	5.4966666667	4.16	6.2266666667	5.2166666667	4.67	carlia_rufilatus	carlia	rufilatus
55	6.405	11.275	8.9016666667	5.3516666667	7.905	6.8566666667	7.9283333333	carlia_shmeltzi	carlia	shmeltzi
244.75	8.49375	14.98	10.305	0	0	0	14.85	coeranoscincus_frontalis	coeranoscincus	frontalis
177.5	7.235	15.2916666667	9.665	3.5283333333	6.9883333333	1.4316666667	11.275	coeranoscincus_reticulatus	coeranoscincus	reticulatus
71.3333333333	7.6277777778	13.47	9.5211111111	6.3377777778	10.2077777778	7.1177777778	8.8288888889	ctenotus_agrestis	ctenotus	agrestis
56.9153333333	6.0673333333	12.0013333333	7.476	5.38	9.2246666667	8.9946666667	6.4386666667	ctenotus_alacer	ctenotus	alacer
86	8.3766666667	15.6666666667	9.5	7.8066666667	13.4083333333	15.56	9.7366666667	ctenotus_alleni	ctenotus	alleni
42.6983333333	4.2666666667	8.0566666667	5.2933333333	3.9191666667	6.4616666667	6.9016666667	4.375	ctenotus_allotropis	ctenotus	allotropis
63.5	7.4066666667	12.605	8.425	6.4633333333	9.77	8.1916666667	8.0666666667	ctenotus_angusticeps	ctenotus	angusticeps
46.335	4.495	9.0566666667	5.4483333333	3.78	6.255	6.505	4.885	ctenotus_arcanus	ctenotus	arcanus
53.33	5.1966666667	10.1066666667	6.7540740741	4.9977777778	7.8218518519	7.8814814815	5.6107407407	ctenotus_ariadnae	ctenotus	ariadnae
51.5706666667	5.698	10.6126666667	6.59	4.8073333333	7.8806666667	7.816	6.0313333333	ctenotus_arnhemensis	ctenotus	arnhemensis
73.654	8.5306666667	14.884	10.1786666667	7.1326666667	12.366	11.2286666667	8.794	ctenotus_astarte	ctenotus	astarte
47	4.7516666667	9.8166666667	5.9283333333	4.1816666667	7.345	7.7566666667	5.8416666667	ctenotus_astictus	ctenotus	astictus
59.375	6.4772222222	11.4058333333	7.5680555556	5.6738888889	9.1986111111	10.1094444444	7.0033333333	ctenotus_atlas	ctenotus	atlas
94.5555555556	10.1403703704	18.2192592593	11.5692592593	8.3414814815	14.7992592593	15.1611111111	11.0281481481	ctenotus_australis	ctenotus	australis
89.4222222222	9.0922222222	15.5155555556	10.5888888889	6.91	12.43	11.4644444444	9.9655555556	ctenotus_borealis	ctenotus	borealis
43.1842105263	4.5054385965	9.6410526316	5.8677192982	4.2212280702	7.0742105263	7.8298245614	4.7722807018	ctenotus_brooksi	ctenotus	brooksi
